Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Equatorial Guinea,Africa,16897,1204.361,3,0.214,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,15889,8008.003,0,0,0,29,14.616,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15224,25718.823,47,79.4,0,17,28.719,0,0,0
Nicaragua,Americas,15021,226.747,31,0.468,0,245,3.698,1,0.015,0
Central African Republic,Africa,14903,308.566,0,0,0,113,2.34,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Monaco,Europe,14527,37017.124,65,165.63,6,63,160.534,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13166,22874.715,12,20.849,10,40,69.496,0,0,0
Gambia,Africa,12415,513.724,0,0,0,372,15.393,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Vanuatu,Western Pacific,11950,3890.671,15,4.884,0,14,4.558,0,0,0
Saint Martin,Americas,11941,30888.021,0,0,0,46,118.989,0,0,0
Yemen,Eastern Mediterranean,11932,40.005,0,0,0,2155,7.225,0,0,0
Sint Maarten,Americas,10855,25313.651,0,0,0,87,202.882,0,0,0
Eritrea,Africa,10164,286.599,1,0.028,0,103,2.904,0,0,0
Micronesia (Federated States of),Western Pacific,10036,8725.211,103,89.547,0,31,26.951,2,1.739,0
Saint Vincent and the Grenadines,Americas,9448,8516.315,2,1.803,0,116,104.561,0,0,0
Bonaire,Americas,9401,44948.601,39,186.469,15,31,148.219,0,0,0
Niger,Africa,9395,38.812,7,0.029,0,313,1.293,1,0.004,0
Antigua and Barbuda,Americas,9008,9198.501,34,34.719,0,145,148.066,0,0,0
Guinea-Bissau,Africa,8796,446.951,0,0,0,175,8.892,0,0,0
Comoros,Africa,8471,974.125,0,0,0,160,18.399,0,0,0
American Samoa,Western Pacific,8217,14886.679,0,0,0,34,61.598,0,0,0
Liberia,Africa,7961,157.404,32,0.633,0,294,5.813,0,0,0
Sierra Leone,Africa,7750,97.155,1,0.013,0,125,1.567,0,0,0
Chad,Africa,7571,46.092,13,0.079,0,193,1.175,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6543,12300.722,7,13.16,2,46,86.479,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Turks and Caicos Islands,Americas,6380,16478.124,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,6193,2825.802,0,0,0,76,34.678,0,0,0
Palau,Western Pacific,5445,30096.175,15,82.91,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5263,53242.286,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3856,25703.24,5,33.329,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3188,55012.942,22,379.638,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1886,54148.722,0,0,0,0,0,0,0,0
Montserrat,Americas,1356,27125.425,80,1600.32,0,8,160.032,0,0,0
Sint Eustatius,Americas,1196,38101.306,2,63.715,2,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,726,37558.2,0,0,0,2,103.466,0,0,0
Niue,Western Pacific,80,4944.376,3,185.414,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
